,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Kruisfontein,ZA,-34.0033,24.7314,48.88,84,0,6.58,clear sky
302,Eregli,TR,37.5133,34.0467,71.26,46,0,2.95,clear sky
303,Micheweni,TZ,-4.9667,39.8333,75.51,75,4,13.76,clear sky
304,Georgetown,MY,5.4112,100.3354,79.9,87,20,3.44,few clouds
305,Ormond Beach,US,29.2858,-81.0559,94.08,72,40,8.05,light rain
306,Howard Springs,AU,-12.497,131.047,64.31,73,90,6.62,overcast clouds
307,Inirida,CO,3.8653,-67.9239,81.61,85,56,0.83,broken clouds
308,Don Sak,TH,9.3168,99.6918,80.15,87,100,20.0,overcast clouds
309,Portland,US,45.5234,-122.6762,88.63,50,20,8.05,few clouds
310,Pyay,MM,18.8167,95.2167,75.78,95,84,7.49,broken clouds
311,Kibaya,TZ,-5.3,36.5667,54.5,82,4,6.96,clear sky
312,Pisco,PE,-13.7,-76.2167,68.05,60,70,11.5,dust
313,Laguna,US,38.421,-121.4238,99.32,36,0,5.75,clear sky
314,San Patricio,US,28.017,-97.5169,102.07,36,6,15.77,clear sky
315,Qasigiannguit,GL,68.8193,-51.1922,37.96,80,97,4.79,overcast clouds
316,Kholodnyy,RU,62.7167,147.95,65.57,71,36,7.45,scattered clouds
317,Mago,RU,53.2514,140.1822,66.4,96,84,3.36,broken clouds
318,Otavi,NA,-19.65,17.3333,61.29,32,0,7.29,clear sky
319,Bulolo,PG,-7.2,146.65,65.3,96,93,1.9,overcast clouds
320,Alta Floresta,BR,-9.8756,-56.0861,96.66,20,9,2.17,clear sky
321,Gladstone,AU,-23.85,151.25,51.78,76,75,6.91,broken clouds
322,Bubaque,GW,11.2833,-15.8333,80.37,81,67,12.17,light rain
323,Saint-Francois,FR,46.4154,3.9054,80.04,41,0,5.75,clear sky
324,Ewa Beach,US,21.3156,-158.0072,79.59,71,75,10.36,broken clouds
325,Shenjiamen,CN,29.9576,122.298,78.8,95,17,11.5,few clouds
326,Bilbor,RO,47.05,25.5167,46.47,88,17,3.87,few clouds
327,Port Hardy,CA,50.6996,-127.4199,71.78,64,75,8.05,broken clouds
328,Lagos De Moreno,MX,21.35,-101.9167,81.95,25,33,5.95,scattered clouds
329,That Phanom,TH,16.9364,104.7104,76.53,93,99,2.73,overcast clouds
330,Malinovskiy,RU,61.1953,62.8397,65.28,56,23,5.12,few clouds
331,Nikolayevsk-Na-Amure,RU,53.1406,140.73,65.8,98,94,3.27,overcast clouds
332,Starobesheve,UA,47.7504,38.0305,65.93,80,11,5.95,few clouds
333,Ketchikan,US,55.3422,-131.6461,55.87,82,100,12.66,overcast clouds
334,Riverton,US,40.5219,-111.9391,93.31,24,0,9.22,clear sky
335,Esfahan,IR,32.6572,51.6776,87.44,12,14,8.43,few clouds
336,Umm Lajj,SA,25.0213,37.2685,86.14,68,9,5.23,clear sky
337,Maniitsoq,GL,65.4167,-52.9,41.58,85,98,10.76,overcast clouds
338,Xining,CN,36.6167,101.7667,62.15,88,100,1.23,overcast clouds
339,Trinidad,BO,-14.8333,-64.9,94.75,34,100,11.16,overcast clouds
340,Bitung,ID,1.4451,125.1824,76.05,91,100,11.54,overcast clouds
341,Yar-Sale,RU,66.8333,70.8333,49.64,58,70,8.55,broken clouds
342,Sosnovka,RU,56.255,51.2842,68.36,91,77,4.36,broken clouds
343,Ucluelet,CA,48.9329,-125.5528,66.09,81,0,3.0,clear sky
344,Gomel,BY,52.4345,30.9754,60.84,94,100,12.75,moderate rain
345,Sorong,ID,-0.8833,131.25,77.04,89,88,6.69,light rain
